OBJECTID,NUMERO ESTACION,NOMBRE ESTACION,COORDENADA X,COORDENADA Y,UBICACION ESTACION,TRONCAL,NUMERO VAGONES,NUMERO ACCESOS,BICIESTACION,CAPACIDAD BICIESTACION,TIPO ESTACION,BICIPARQUEADERO ESTACION,LATITUD,LONGITUD,globalid,created_user,created_date,last_edited_user,last_edited_date,NODO ESTACIÓN,COMPONENTE WIFI,COMPONENTE APLIFICACION,shape,log_replica,coord_x,coord_y
7,04001,Quirigua,996536.5037,1012224.1448,Carrera 94,Calle 80,1,1,0,0,4,0,4.70674385,-74.1087256,{91B40CB7-A9D6-4F32-BF8F-0999D9391CEB},,,,,4001,,,,,"-74,10872560485649","4,7067438502548224"
100,03004,Gratamira,1000308.5843,1014501.3005,Av Suba Cl 135,Suba,2,1,0,0,4,0,4.72733705,-74.07472646,{3B8956D5-F1A1-4F0A-ABB5-5B26E6196B48},,,,,3004,Valor SI al campo,,,,"-74,07472645773205","4,727337047459881"
136,03010,Puentelargo,1001150.1478,1010736.4295,Av Suba Tv 48,Suba,2,1,0,0,4,0,4.69329094,-74.06714144,{0A930F12-505B-4759-9CB4-F4951ED24A08},,,,,3010,Valor SI al campo,,,,"-74,06714143570045","4,693290937407701"
38,07504,Terreros - Hospital C.V,986459.755,999202.4228,soacha,Soacha,3,1,0,0,4,0,4.5889774,-74.19953048,{71133184-FBD7-4D9D-BF74-44426C9799EF},,,,,7504,,,,,"-74,19953047858931","4,588977404424216"
140,07003,Sevillana,992243.603,999878.285,Sevillana,NQS,2,1,0,0,4,0,4.59509631,-74.14740798,{BFD31B27-BC7D-4C11-9E6F-1194F7DB3BDA},,,,,7003,Valor SI al campo,,,,"-74,14740797942754","4,59509630656433"
139,07503,San Mateo,985801.6742,998871.3923,soacha,Soacha,3,1,1,650,2,1,4.58598283,-74.20546046,{667031D6-05CD-4877-B67A-A7E84FF54E8F},,,,,7503,Valor SI al campo,,,,"-74,20546045683632","4,585982826785949"
12,05102,AV. Américas - AV. Boyacá,993706.7434,1003750.3983,Av. Americas -Carrera 71,Americas,4,1,1,32,4,1,4.6301134,-74.13422505,{57C95B7D-54E7-4317-BE9A-0733D271606B},,,,,5102,,,,,"-74,13422505161178","4,630113397264547"
137,10006,San Victorino,1000011.2959,1000532.7695,Kra 10- Cl12,Cr 7-10,3,2,0,0,4,0,4.60101831,-74.07740612,{EAA9BB41-4ADC-4F1C-90A0-87CEEDB0A7D8},,,,,10006,Valor SI al campo,,,,"-74,07740611800506","4,60101831040282"
78,09119,Calle 57,1001296.6186,1005173.159,Calle 57 - Calle 54,Caracas,3,2,0,0,4,0,4.64298174,-74.0658221,{F5123EEF-4001-43D9-B186-BC550597898E},,,,,9119,Valor SI al campo,,,,"-74,0658221013837","4,642981743519029"
24,06108,Concejo de Bogotá,999692.3657,1003293.3903,Carrera38,Calle 26,2,1,0,0,4,0,4.62598289,-74.08028041,{0EB8C5FB-57BF-469D-9AC8-836C3E61FBED},,,,,6108,,,,,"-74,08028041410223","4,625982894961104"
25,07007,NQS - Calle 38A S,994868.3368,999733.8476,AutoSur - Kr 39A,NQS,2,1,0,0,4,0,4.59379207,-74.123754,{26A128B3-4E81-4208-BE42-78E17DDC8125},,,,,7007,,,,,"-74,12375399943836","4,593792070751109"
141,03013,Rionegro,1001420.5593,1009322.1242,Av Suba Cl 87,Suba,2,1,0,0,4,0,4.68050121,-74.0647044,{EDE53DA0-92A0-4022-BB3B-4B923CA3CDDA},,,,,3013,Valor SI al campo,,,,"-74,06470440289625","4,680501209343358"
122,08000,Portal del Tunal,993149.6917,997055.6271,Av. Boyaca,Tunal,0,0,0,0,1,0,4.56957146,-74.13924019,{B30EAA23-4E9C-4FA9-A2B2-B3DD171F677A},,,,,8000,Valor SI al campo,,,,"-74,13924019044012","4,569571455139261"
94,10001,Country Sur,997655.965,997259.1614,Kra 10- Cl28 sur,Cr 7-10,2,2,0,0,4,0,4.57141439,-74.09863149,{AD973BC1-85EB-4438-8F19-F3AE385AB383},,,,,10001,Valor SI al campo,,,,"-74,09863149215894","4,5714143871937285"
49,02204,Pepe Sierra,1002464.1816,1011271.0169,Calle 116,Autonorte,2,1,0,0,4,0,4.69812498,-74.05529767,{E187D8C1-6327-414F-BDFC-2565F9FB5457},,,,,2204,Valor SI al campo,Valor SI al campo,,,"-74,05529766941929","4,698124980565317"
47,02302,Virrey,1002052.1007,1008823.7225,Calle 90,Autonorte,3,1,0,0,4,0,4.67599399,-74.05901243,{1B1C8FF9-5D6E-4172-8464-CE196FE8C879},,,,,2302,Valor SI al campo,Valor SI al campo,,,"-74,05901243300607","4,675993990521821"
20,06107,Ciudad Universitaria,999332.0997,1003834.8967,carrera 34,Calle 26,2,2,0,0,4,0,4.63087977,-74.08352729,{990E22FB-CF44-4CC2-83CD-75019C65AF3D},,,,,6107,,,,,"-74,08352728639792","4,6308797731706735"
33,12007,Zona Industrial,997649.7889,1002667.4774,calle 13 carrera 38,Americas,2,2,0,0,4,0,4.62032239,-74.09868859,{78E414FE-2435-4CD9-841F-250A94BF1A42},,,,,12007,,,,,"-74,09868859253203","4,62032238800055"
1,07103,AV. Chile,1000326.9067,1007756.2952,Kr 30 Cl 72,NQS,6,2,0,0,4,0,4.66634138,-74.07456156,{F055422B-BD16-4DCE-BEEF-2AD5D8D0D555},,,,,7103,,,,,"-74,07456156274041","4,666341384691839"
76,10003,Ciudad Jardín,998576.2678,998378.0068,Kra 10- Cl12 sur,Cr 7-10,2,1,0,0,4,0,4.58153243,-74.09033824,{EEB45730-31AC-45A4-AAFB-6DAF96D99A84},,,,,10003,Valor SI al campo,,,,"-74,0903382444227","4,581532432918011"
106,14004,Museo del Oro,1000511.5758,1000548.5192,carrera 2,Eje Ambiental,1,2,0,0,4,0,4.60116072,-74.07289759,{AAE0C54B-7DF7-498C-94B4-3D38A29B7982},,,,,14004,Valor SI al campo,,,,"-74,07289759415714","4,601160721755195"
18,07201,Guatoque - Veraguas,998067.0914,1000882.2818,Carrera 27,Calle 6,4,2,0,0,4,0,4.60417878,-74.09492737,{2F48161E-568F-42BC-B625-66D45B9C0FA9},,,,,13003,,,,,"-74,09492736738859","4,604178775301766"
64,10002,AV. 1 Mayo,998202.4918,997869.8573,AV. 1? Mayo con Cra 7,Cr 7-10,3,2,0,0,4,0,4.57693711,-74.09370652,{11D49CF9-B7B5-49C3-96BA-E815CB083F2E},,,,,10002,Valor SI al campo,,,,"-74,09370651923632","4,576937109867612"
110,03007,Humedal Córdoba,1000706.4471,1012201.2159,Av Suba Cl 119,Suba,2,1,0,0,4,0,4.70653717,-74.07114047,{B1F00793-4215-4A98-9A98-B1AFB8968568},,,,,3007,Valor SI al campo,,,,"-74,07114046657787","4,706537173320073"
145,12004,San Fason Carrera 22,998978.6699,1001505.8574,Av. Americas -Carrera 22,Americas,2,2,0,0,4,0,4.60981799,-74.08671226,{C8F73928-2752-48D4-9483-22BB6A632632},,,,,12004,Valor SI al campo,,,,"-74,08671225757907","4,6098179910313934"
55,02104,Calle 146,1003071.5916,1014894.6251,Calle 146,Autonorte,3,1,0,0,4,0,4.73089336,-74.04982164,{2CA3759A-A0E0-48D4-8599-524960ADC3BD},,,,,2104,Valor SI al campo,Valor NO al campo,,,"-74,04982164374223","4,7308933643842686"
148,09115,Calle 34,1000860.4241,1002807.1726,Avenida Calle 34 - Calle 3,Caracas,3,2,0,0,4,0,4.62158594,-74.06975355,{FA72C80D-3AC6-44AD-8B5C-488452D5287A},,,,,9115,Valor SI al campo,,,,"-74,06975355085908","4,621585940426704"
130,03014,San Martín,1001158.5475,1008884.2936,Av Suba Cl 81,Suba,2,1,0,0,4,0,4.67654191,-74.06706598,{A4FD2EFA-6A3D-4929-B2B7-A6FF0F2B40CF},,,,,3014,Valor SI al campo,,,,"-74,06706597624036","4,6765419068402165"
129,09004,Santa Lucía,994763.7255,997209.4679,Calle 46A Sur - Diagonal 4,Caracas,2,2,0,0,4,0,4.57096376,-74.12469525,{79BCF4D9-3955-4B51-8220-7ED32D4BA0D3},,,,,9004,Valor SI al campo,,,,"-74,12469524990675","4,570963760491263"
27,04104,AV. 68,999671.4633,1009899.8381,Carrera 60,Calle 80,1,1,0,0,4,0,4.68572564,-74.08046904,{B6BF3FBE-FB1A-4920-92E6-4AABA12B1143},,,,,4104,,,,,"-74,08046904289834","4,685725638657087"
143,10010,San Bernardo,999244.1864,999335.3793,Kra 10- Cl1b  sur,Cr 7-10,2,2,0,0,4,0,4.59019014,-74.08431921,{3F41BFA1-62D1-4269-8551-3CF9A50DEF5F},,,,,10010,Valor SI al campo,,,,"-74,08431920675356","4,59019014445814"
23,09109,Tercer Milenio,999297.6313,1000213.0552,Calle 8 - Calle 6,Caracas,3,2,0,0,4,0,4.59812707,-74.08383764,{77390325-584E-401D-AC32-6CDA80F86A77},,,,,9109,,,,,"-74,08383763852365","4,598127070448471"
58,02102,Calle 161,1003275.1891,1016113.1876,Calle 160,Autonorte,4,1,0,0,4,0,4.74191284,-74.04798602,{E237E407-7C7C-4161-A4FA-8C6F2E7DE43C},,,,,2102,Valor NO al campo,Valor NO al campo,,,"-74,0479860185776","4,74191283992317"
8,03011,Suba - Calle 100,1001319.195,1010416.5597,Av Suba Cl 100,Suba,2,1,0,0,4,0,4.6903983,-74.06561783,{903304A2-2C9D-4637-9280-1FAEE0CA0E35},,,,,3011,,,,,"-74,06561783301993","4,690398302689789"
