OBJECTID,Identificador de la manzana catastral,Clase de predio predominante,Grupo económico predominante,Avalúo catastral por manzana ($),Observación,GLOBALID,coord_x,coord_y
3644,004211061,N,LOTES,440005,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{2E32B0A7-2FA9-42A3-94B3-162A9A72A72E},"-74,10645546926179","4,6066801591170945"
3700,005106055,N,LOTES,837000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{7EDC25F5-2B8A-4FC4-AF98-C1476B825EDF},"-74,08026794393477","4,644331789520934"
3706,004102011,N,BODEGAS,1579697,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{1D71FA8C-E325-4369-895C-570C6C54FDF3},"-74,0873246387499","4,607725064089363"
3723,004309013,N,RESIDENCIAL,1509323,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{36E2D190-8FDB-4BE8-BD84-8686B8851E5B},"-74,12106178180909","4,61145932895191"
3765,006103056,N,RESIDENCIAL,1190371,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CC0BC365-3D69-4080-80C6-04522A846877},"-74,08010314902931","4,616568867821029"
3779,006205023,N,BODEGAS,1520485,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{7046B9CE-A178-4A9A-A4D4-5E52113A3F18},"-74,09851620791461","4,622239988424807"
3782,006205025,N,OTROS,1455281,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{6B9F40D3-6E93-42BB-AF81-D1AA2DBAC373},"-74,09836228115681","4,624174194223706"
3786,006209014,N,RESIDENCIAL,2361304,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{10FA4BAF-FF8F-49FD-B848-33F0AA05C055},"-74,09337381407396","4,633996269052448"
3813,006218020,N,BODEGAS,1496608,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9ECD3FB2-000E-41D2-A398-09CCB1CE3A44},"-74,11152045466046","4,6377163252391025"
3847,006502014,N,RESIDENCIAL,1437396,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{24907636-AB95-49F2-8DCC-BD0AC5C5D052},"-74,12975130086872","4,631353117303635"
3848,006502015,N,RESIDENCIAL,1501279,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{527CFD08-584D-42E0-A19B-42E990D6DB89},"-74,1297943912771","4,630884009750792"
3857,006203004,N,BODEGAS,1732500,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B769AC52-2C5F-45A2-A561-E61A34FB4860},"-74,08693961301859","4,6216454348274905"
3858,006203005,N,BODEGAS,1732500,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{ED2B51AC-21D2-4876-8BBF-A69ACC81C90C},"-74,08542075617903","4,624229803870979"
3861,006204003,N,BODEGAS,2250000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{23DE5821-AC2D-4670-BE90-4F5D07055A58},"-74,09163575125935","4,61545958384505"
3879,006204029,N,BODEGAS,1417030,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5B77D24A-ED98-41EF-B790-EF98BD8425CE},"-74,09442050603255","4,620516963532201"
3888,006218015,N,BODEGAS,1840984,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{1111A481-FD87-4951-95CA-0EF7B7C0D21F},"-74,1160281659737","4,638119208499689"
3890,006202011,N,RESIDENCIAL,2295470,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{E8B1BBB2-50EA-431F-8872-F6B0294522E6},"-74,08494323683777","4,626547161465395"
3935,006204033,N,OTROS,1509561,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9218A584-7F47-4B25-922B-C0B57BF0BC37},"-74,09013626254195","4,617872015336107"
3965,006103027,N,LOTES,670765,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C7CD9288-0F0B-445D-8E40-E292C14E22F2},"-74,07730025862446","4,614202558123664"
3967,006104014,N,RESIDENCIAL,1122358,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F1EE9FAF-8A27-4642-BC16-B909F8D74BB3},"-74,07720516115343","4,611042171555958"
3969,003104002,N,RESIDENCIAL,1157208,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{631D146A-3EDD-4B75-816E-98E804683B4E},"-74,07010734572626","4,59784834139486"
3971,006104017,N,RESIDENCIAL,1539458,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{BE28A33D-89BB-4C15-AD8E-0F762B1EE1A6},"-74,07816226650334","4,610445674987181"
3980,006307018,N,BODEGAS,1776836,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{4524D5E5-2830-46A9-824E-2BE23DDEF899},"-74,12222231484591","4,641452592951388"
4009,006104018,N,LOTES,1029339,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{AEB4A858-F443-43A2-85F6-21EE6860BF26},"-74,07806715540731","4,609605691457407"
4012,004104038,N,OTROS,242662,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{528F784D-A65E-4D3C-A06E-936A1FF027F6},"-74,0901893180287","4,598439762401826"
4030,008109011,N,UNIVERSIDADES Y COLEGIOS,1181500,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A25D06CE-B965-40AA-B6D5-9B8791DEE7BF},"-74,06780423143097","4,61522888158108"
4031,004208036,N,OFICINAS,1870000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A44E8B28-1E65-457C-990D-AE0B6138A09A},"-74,09756381350833","4,619927433414907"
4045,006106002,N,RESIDENCIAL,1434112,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F348AC89-8574-4FED-ABB0-5F5554C500CD},"-74,08336665906259","4,609322819917289"
